Index,LCSC#,MPN,Manufacturer,Package,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link,Total Price ($)
1,C92361,CL05A474KA5NNNC,Samsung Electro-Mechanics,402,25V 470nF X5R ±10% 0402 Ceramic Capacitors RoHS,yes,10,10,10,0.0118,0.12,https://www.lcsc.com/product-detail/C92361.html,1.12
2,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,402,16V 100nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0012,0.12,https://www.lcsc.com/product-detail/C1525.html,1.24
3,C1864241,GJM1555C1H390GB01D,muRata,402,50V 39pF C0G ±2% 0402 Ceramic Capacitors RoHS,yes,20,20,20,0.0355,0.71,https://www.lcsc.com/product-detail/C1864241.html,1.95
4,C76906,GJM1555C1H3R3BB01D,muRata,402,50V 3.3pF C0G 0402 Ceramic Capacitors RoHS,yes,50,50,50,0.0166,0.83,https://www.lcsc.com/product-detail/C76906.html,1.78
5,C77018,GRM155R71H102KA01D,muRata,402,50V 1nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.002,0.2,https://www.lcsc.com/product-detail/C77018.html,1.98
6,C76970,GRM1555C1H470JA01D,muRata,402,50V 47pF C0G ±5% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C76970.html,2.2
7,C307339,CL05B473KB5VPNC,Samsung Electro-Mechanics,402,50V 47nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0076,0.76,https://www.lcsc.com/product-detail/C307339.html,2.96
8,C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,402,10V 1uF X5R ±10% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C14445.html,4.13
9,C76950,GRM1555C1H150JA01D,muRata,402,50V 15pF C0G ±5% 0402 Ceramic Capacitors RoHS,yes,100,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C76950.html,4.38
10,C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,402,10V 10uF X5R ±20% 0402 Ceramic Capacitors RoHS,yes,20,20,20,0.0085,0.17,https://www.lcsc.com/product-detail/C315248.html,3.55
11,C85815,BLM15AX102SN1D,muRata,402,490mΩ ±25% 1kΩ@100MHz 0402 Ferrite Beads and Chips RoHS,yes,100,100,100,0.0055,0.55,https://www.lcsc.com/product-detail/C85815.html,4.1
12,C5224443,0900FM15K0039E,Johanson Dielectrics,"SMD-10P,1.2x2mm","SMD-10P,1.2x2mm Ceramic Filters RoHS",yes,2,1,1,1.8851,3.77,https://www.lcsc.com/product-detail/C5224443.html,7.87
13,C3025063,USB4105-GF-A-060,Global Connector Technology,SMD,"SMD USB, DVI, HDMI Connector Assemblies RoHS",yes,2,1,1,1.0013,2,https://www.lcsc.com/product-detail/C3025063.html,9.87
14,C3221788,LQW15DN150M00D,muRata,402,15uH 100mA 0402 Fixed Inductors RoHS,yes,2,1,1,1.1864,2.37,https://www.lcsc.com/product-detail/C3221788.html,12.24
15,C337956,LQW15AN9N1H00D,muRata,402,9.1nH Unshielded Inductor 0402 Fixed Inductors RoHS,yes,10,10,10,0.0388,0.39,https://www.lcsc.com/product-detail/C337956.html,12.63
16,C22334,LQW15AN47NG00D,muRata,402,47nH Unshielded Inductor 0402 Fixed Inductors RoHS,yes,20,20,20,0.0365,0.73,https://www.lcsc.com/product-detail/C22334.html,13.36
17,C413063,ERJ2RKF1000X,PANASONIC,402,100mW 100Ω ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0047,0.47,https://www.lcsc.com/product-detail/C413063.html,13.83
18,C191123,ERJ2RKF1002X,PANASONIC,402,100mW 10kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0045,0.45,https://www.lcsc.com/product-detail/C191123.html,14.28
19,C2076786,ERJ2RKF27R4X,PANASONIC,402,100mW 27.4Ω 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0057,0.29,https://www.lcsc.com/product-detail/C2076786.html,14.57
20,C242161,ERJ2RKF1001X,PANASONIC,402,100mW 1kΩ ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0049,0.49,https://www.lcsc.com/product-detail/C242161.html,15.06
21,C105872,RC0402FR-075K1L,YAGEO,402,5.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C105872.html,15.13
22,C2689642,PTS636SK25SMTRLFS,C&K,"SMD,6x3.5mm","12V Rectangular Button SPST-NO 50mA SMD,6x3.5mm Tactile Switches RoHS",yes,5,5,5,0.3601,1.8,https://www.lcsc.com/product-detail/C2689642.html,16.93
23,C191341,SX1262IMLTRT,SEMTECH,QFN-24-EP(4x4),300Kbps General Purpose ISM <1 GHz SPI -148dBm 150MHz~960MHz QFN-24-EP(4x4) RF Transceiver ICs RoHS,yes,1,1,1,3.1633,3.16,https://www.lcsc.com/product-detail/C191341.html,20.09
24,C2040,RP2040,Raspberry Pi,LQFN-56(7x7),133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,yes,1,1,1,0.9482,0.95,https://www.lcsc.com/product-detail/C2040.html,21.04
25,C97521,W25Q128JVSIQ,Winbond,SOIC-8-208mil,128Mbit 2.7V~3.6V 133MHz SPI SOIC-8-208mil Memory (ICs) RoHS,yes,1,1,1,1.8032,1.8,https://www.lcsc.com/product-detail/C97521.html,22.84
26,C51118,AP2112K-3.3TRG1,DIODES,SOT-25-5,"65dB@(1kHz) Positive Fixed 3.3V SOT-25-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1344,0.67,https://www.lcsc.com/product-detail/C51118.html,23.51
27,C470892,PE4259-63,pSemi,SC-70-6,30dB 0.35dB SC-70-6 RF Switches RoHS,yes,1,1,1,0.5777,0.58,https://www.lcsc.com/product-detail/C470892.html,24.09
